model,n_folds,ssim_mean,ssim_sd,ssim_ci_lo,ssim_ci_hi,psnr_mean,psnr_sd,psnr_ci_lo,psnr_ci_hi,mae_mean,mae_sd,mae_ci_lo,mae_ci_hi
cvae2,10,0.8213,0.0672,0.7793,0.8576,24.8224,3.7369,22.422,26.8004,0.0406,0.0245,0.0287,0.0569
simvp,10,0.7886,0.0642,0.7473,0.8226,23.304,3.2597,21.0991,24.9517,0.0471,0.0265,0.0348,0.0647
swin,10,0.7798,0.0711,0.7331,0.8164,23.4986,3.4652,21.2325,25.2313,0.0475,0.0287,0.0341,0.0665
cgan,10,0.7738,0.0824,0.7223,0.8187,22.9244,3.9705,20.3733,25.0433,0.0512,0.0317,0.035,0.0715
diffusion,10,0.7696,0.0748,0.7242,0.8123,24.0618,3.7263,21.7731,26.0789,0.0455,0.0251,0.0332,0.0619
attention_unet,10,0.7476,0.0765,0.7004,0.7903,21.0478,3.0096,19.1446,22.6135,0.0556,0.0284,0.0409,0.0732
convlstm,10,0.7429,0.0724,0.6986,0.7835,21.6138,3.1967,19.612,23.3447,0.0577,0.0269,0.0442,0.0755
unet,10,0.7422,0.0678,0.701,0.7792,21.332,3.5958,19.0371,23.2848,0.0567,0.0295,0.0416,0.0764
temporal_unet,10,0.7283,0.0667,0.6872,0.7662,20.9693,3.1836,18.9191,22.6619,0.0582,0.0291,0.0431,0.0768
vit,10,0.709,0.0783,0.6608,0.7516,21.7234,2.8633,19.8364,23.1492,0.0535,0.025,0.0418,0.0703
pix2pix,10,0.5757,0.0365,0.5552,0.5975,15.6252,1.4219,14.8745,16.5521,0.1212,0.0174,0.1101,0.1304
last_frame,10,0.3667,0.0471,0.3406,0.396,10.3429,0.7993,9.888,10.8263,0.2499,0.0261,0.2353,0.2656
attention_resnet,10,0.3073,0.0679,0.2671,0.3457,11.9139,2.4097,10.3708,13.2215,0.1673,0.0573,0.1369,0.2033
cvae,10,0.3033,0.0377,0.2816,0.3257,11.8698,1.4855,11.0061,12.7369,0.1839,0.0368,0.1623,0.2052
mean_frame,10,0.2697,0.0415,0.2462,0.2946,9.145,0.6258,8.7928,9.5349,0.2872,0.024,0.2735,0.301
kinetic,10,0.2541,0.0342,0.2362,0.276,9.7238,2.5349,8.4473,11.4222,0.261,0.0666,0.2169,0.2957
