model,n_folds,val_degradation,val_over_train,pct_early_stopped,mean_stop_epoch,epoch_cap,val_predicts_test_r
vit,10,0.017,2.27,80.0,269,400,0.083
cvae2,10,0.02,3.676,100.0,170,400,0.164
temporal_unet,10,0.02,3.161,100.0,216,400,-0.178
attention_resnet,10,0.023,1.065,80.0,206,400,0.898
convlstm,10,0.03,1.577,60.0,333,400,0.146
swin,10,0.058,3.866,100.0,115,400,-0.003
cgan,10,0.069,0.04,100.0,214,400,0.165
simvp,10,0.072,3.338,100.0,126,400,0.093
unet,10,0.153,2.375,100.0,182,400,0.223
diffusion,10,0.156,3.928,100.0,407,1200,0.491
attention_unet,10,0.2,1.939,100.0,149,400,-0.132
cvae,10,0.228,0.947,100.0,80,400,-0.066
