model,test_tumor,ssim,psnr,mae
attention_resnet,T1-R=0.2,0.2569217041867678,11.425139756654053,0.17182004665497871
attention_resnet,T1-R=0.3,0.19658640754222867,8.014453002795936,0.24756573784351346
attention_resnet,T1-R=0.4,0.22660726638776912,7.4980319081126465,0.28442443662456096
attention_resnet,T2-R=0.1,0.36587956196495464,14.274855702676343,0.11696285844913545
attention_resnet,T2-R=0.2,0.3694381943770817,13.269924886167956,0.13764197799776276
attention_resnet,T2-R=0.4,0.2539284700793879,11.319794094746223,0.1895179419645241
attention_resnet,T3-R=0.1,0.3727364368736744,13.715826450571603,0.12577576413750644
attention_resnet,T3-R=0.2,0.3418553453470979,12.914417862831954,0.141371603044016
attention_resnet,t1-r=0.1,0.31527156407634416,12.593156651553404,0.13501046057790514
attention_resnet,t2-r=0.3,0.37401906677654806,14.113865710896048,0.12287307450813902
attention_unet,T1-R=0.2,0.6575488963576613,18.730427770952,0.0767621245906978
attention_unet,T1-R=0.3,0.7745080251693726,23.325117051942186,0.0398310630023479
attention_unet,T1-R=0.4,0.6041966136012759,14.345857946400063,0.12317949703761505
attention_unet,T2-R=0.1,0.8410705932549067,23.13634728170028,0.034760518026139005
attention_unet,T2-R=0.2,0.7973279616662434,21.981319933644897,0.04305572288909124
attention_unet,T2-R=0.4,0.7314348354935646,23.36129619954346,0.04268563286002189
attention_unet,T3-R=0.1,0.8138251381261008,23.20726244279533,0.03749569319188591
attention_unet,T3-R=0.2,0.7775330977780478,21.579642876347457,0.042509116857711714
attention_unet,t1-r=0.1,0.6829328544437885,18.203922770389372,0.07676318061227595
attention_unet,t2-r=0.3,0.7960684627294541,22.60650551425235,0.038518000380801255
cgan,T1-R=0.2,0.6498022687728288,17.88710450600563,0.08931327711974006
cgan,T1-R=0.3,0.8011360771656036,23.497217745824027,0.03840507614612575
cgan,T1-R=0.4,0.6219146477324622,14.509753765996173,0.12355637159198518
cgan,T2-R=0.1,0.8405165889433452,25.01071722199367,0.035398822477353424
cgan,T2-R=0.2,0.8328805301870619,25.18408410935916,0.03461912685473046
cgan,T2-R=0.4,0.7969414453421321,24.916585755665704,0.035228151774832135
cgan,T3-R=0.1,0.8291533512728555,25.52242063184245,0.03204403741817385
cgan,T3-R=0.2,0.8306235939264297,26.30734727808072,0.029365564417093946
cgan,t1-r=0.1,0.7080909721553326,20.596999321383997,0.0628285495564341
