model,n_pairs,ssim_model,ssim_baseline,improvement,wilcoxon_stat,p_raw,p_holm,beats_baseline
cvae2,10,0.8213,0.3667,0.4546,0.0,0.001953125,0.02734375,True
simvp,10,0.7886,0.3667,0.4219,0.0,0.001953125,0.02734375,True
swin,10,0.7798,0.3667,0.4132,0.0,0.001953125,0.02734375,True
cgan,10,0.7738,0.3667,0.4071,0.0,0.001953125,0.02734375,True
diffusion,10,0.7696,0.3667,0.4029,0.0,0.001953125,0.02734375,True
attention_unet,10,0.7476,0.3667,0.381,0.0,0.001953125,0.02734375,True
convlstm,10,0.7429,0.3667,0.3762,0.0,0.001953125,0.02734375,True
unet,10,0.7422,0.3667,0.3755,0.0,0.001953125,0.02734375,True
temporal_unet,10,0.7283,0.3667,0.3616,0.0,0.001953125,0.02734375,True
vit,10,0.709,0.3667,0.3423,0.0,0.001953125,0.02734375,True
pix2pix,10,0.5757,0.3667,0.209,0.0,0.001953125,0.02734375,True
attention_resnet,10,0.3073,0.3667,-0.0594,14.0,0.193359375,0.193359375,False
cvae,10,0.3033,0.3667,-0.0634,1.0,0.00390625,0.02734375,False
kinetic,10,0.2541,0.3667,-0.1125,0.0,0.001953125,0.02734375,False
